rn	clust_M0_lam0.2_k25_kgeom30_res1	clust_M0_lam0.2_k50_kgeom30_res1	clust_M0_lam0.2_k100_kgeom30_res1
Br0942_aglmdgif-1	X4	X15	X13
Br0942_agmjainj-1	X3	X4	X15
Br0942_agmjddin-1	X3	X4	X3
Br0942_agmkkink-1	X11	X3	X3
Br0942_agnakplc-1	X7	X4	X3
Br0942_agnechlk-1	X9	X4	X6
Br0942_agnfecii-1	X10	X18	X15
Br0942_agniedab-1	X17	X11	X16
Br0942_agnmlncn-1	X19	X6	X13
Br0942_agoamnpf-1	X6	X6	X5
Br0942_agokmlaj-1	X19	X6	X13
Br0942_agolbahb-1	X4	X15	X13
Br0942_agolkpgl-1	X10	X12	X8
Br0942_agolnnpd-1	X14	X4	X10
Br0942_agoncfpp-1	X6	X6	X5
Br0942_agonclno-1	X18	X17	X6
Br0942_agphojmd-1	X17	X4	X10
Br0942_agpiaokk-1	X10	X18	X8
Br0942_agplbiib-1	X12	X11	X10
Br0942_agppioih-1	X9	X4	X6
Br0942_ahaedhbn-1	X14	X4	X11
Br0942_ahaoimpb-1	X3	X3	X3
Br0942_ahaojkpg-1	X3	X3	X3
Br0942_ahbbdjnh-1	X12	X11	X10
Br0942_ahbcmdld-1	X12	X11	X10
Br0942_ahbdleko-1	X12	X11	X10
Br0942_ahbeanmg-1	X3	X18	X15
Br0942_ahbgfdfd-1	X3	X17	X15
Br0942_ahbkmljo-1	X3	X3	X3
Br0942_ahbodcdg-1	X12	X11	X16
Br0942_ahccnbfn-1	X6	X6	X5
Br0942_ahcibpko-1	X20	X18	X15
Br0942_ahdadnig-1	X3	X4	X3
Br0942_ahdepcig-1	X3	X4	X3
Br0942_ahdiadnk-1	X1	X1	X1
Br0942_ahecfbcn-1	X17	X11	X10
Br0942_ahecgiol-1	X9	X9	X14
Br0942_aheebgfj-1	X22	X1	X1
Br0942_ahefbncc-1	X20	X12	X15
Br0942_ahehpfbi-1	X12	X11	X10
Br0942_aheiajmj-1	X20	X18	X15
Br0942_ahekohbh-1	X12	X11	X10
Br0942_ahepadoo-1	X6	X6	X5
Br0942_ahephfdp-1	X1	X1	X1
Br0942_ahfbihnm-1	X3	X4	X3
Br0942_ahfobkaf-1	X1	X1	X6
Br0942_ahgbpboa-1	X5	X5	X4
Br0942_ahggjhda-1	X12	X11	X10
Br0942_ahgglpab-1	X1	X1	X1
Br0942_ahglnald-1	X17	X11	X10
Br0942_ahglnfcp-1	X12	X11	X10
Br0942_ahhhfcim-1	X17	X11	X10
Br0942_ahhkekbh-1	X17	X11	X10
Br0942_ahhonell-1	X9	X9	X14
Br0942_ahiijhmf-1	X17	X11	X10
Br0942_ahijiaae-1	X9	X4	X3
Br0942_ahijpekj-1	X3	X3	X3
Br0942_ahilanlc-1	X1	X1	X1
Br0942_ahimkcdf-1	X1	X1	X1
Br0942_ahioknae-1	X10	X18	X8
Br0942_ahjacngo-1	X12	X11	X10
Br0942_ahjbidgf-1	X12	X11	X10
Br0942_ahjcfpla-1	X12	X11	X10
Br0942_ahjieplc-1	X2	X2	X2
Br0942_ahjkekhf-1	X9	X9	X14
Br0942_ahjomccm-1	X8	X7	X7
Br0942_ahkajmkl-1	X9	X9	X6
Br0942_ahkbndld-1	X9	X9	X14
Br0942_ahkdkfil-1	X2	X2	X2
Br0942_ahkdomcf-1	X6	X6	X5
Br0942_ahkhdlbh-1	X9	X9	X6
Br0942_ahknhbdj-1	X19	X6	X3
Br0942_ahkpncpo-1	X9	X9	X14
Br0942_ahlcpjdd-1	X1	X1	X1
Br0942_ahldjggh-1	X2	X2	X2
Br0942_ahlglakl-1	X1	X1	X1
Br0942_ahljnjoh-1	X18	X12	X8
Br0942_ahlmfcli-1	X6	X6	X5
Br0942_ahlmljch-1	X20	X18	X15
Br0942_ahlnfkdo-1	X10	X12	X8
Br0942_ahlnplmb-1	X16	X12	X8
Br0942_ahlohibl-1	X12	X19	X10
Br0942_ahmbbmad-1	X5	X5	X4
Br0942_ahmcenap-1	X9	X9	X14
Br0942_ahmdgnmj-1	X8	X7	X7
Br0942_ahmfbbed-1	X6	X6	X5
Br0942_ahmhnmio-1	X17	X11	X10
Br0942_ahmijdcm-1	X23	X16	X18
Br0942_ahmkjloo-1	X2	X2	X2
Br0942_ahmlbopo-1	X11	X11	X10
Br0942_ahmlioae-1	X3	X4	X3
Br0942_ahmmfmpn-1	X14	X4	X3
Br0942_ahmnfcfd-1	X3	X4	X3
Br0942_ahmoaill-1	X3	X3	X3
Br0942_ahmobomp-1	X17	X11	X10
Br0942_ahncadlb-1	X14	X4	X11
Br0942_ahnoaoch-1	X18	X17	X6
Br0942_ahnoconc-1	X9	X9	X14
Br0942_ahocbmcp-1	X20	X12	X15
Br0942_ahofgbaa-1	X3	X4	X3
Br0942_ahofpblb-1	X3	X4	X3
Br0942_ahoilnho-1	X18	X17	X15
Br0942_ahonegbj-1	X3	X3	X3
Br0942_ahpcjbke-1	X3	X4	X3
Br0942_ahpgmpjc-1	X6	X6	X5
Br0942_ahpiomcj-1	X14	X4	X3
Br0942_ahpmdclm-1	X9	X9	X14
Br0942_ahppjenm-1	X2	X6	X5
Br0942_aiaoejod-1	X2	X2	X2
Br0942_aiapficj-1	X5	X5	X4
Br0942_aibbdeng-1	X9	X9	X14
Br0942_aibblcoj-1	X10	X12	X8
Br0942_aibgjjoc-1	X9	X9	X14
Br0942_aibmfafa-1	X5	X5	X4
Br0942_aibplgon-1	X16	X12	X8
Br0942_aicdhjec-1	X14	X4	X3
Br0942_aiceikbj-1	X14	X4	X6
Br0942_aicgbdnh-1	X9	X9	X14
Br0942_aichdcph-1	X7	X4	X6
Br0942_aichfdnf-1	X17	X11	X9
Br0942_aicmihpg-1	X12	X11	X10
Br0942_aicmopjk-1	X23	X16	X3
Br0942_aideckdg-1	X12	X11	X10
Br0942_aidenkgl-1	X9	X9	X6
Br0942_aidjfhcm-1	X1	X1	X1
Br0942_aidoobda-1	X9	X4	X6
Br0942_aieffmja-1	X10	X12	X8
Br0942_aiehfkec-1	X21	X19	X16
Br0942_aiejddne-1	X12	X11	X16
Br0942_aiemhacm-1	X14	X11	X11
Br0942_aieogekc-1	X14	X4	X15
Br0942_aieojojj-1	X9	X9	X14
Br0942_aifamnii-1	X1	X1	X1
Br0942_aifdadie-1	X5	X5	X4
Br0942_aifdpohi-1	X12	X11	X10
Br0942_aifgcpbg-1	X20	X18	X15
Br0942_aifmlpic-1	X3	X4	X3
Br0942_aifoihon-1	X12	X11	X10
Br0942_aifpdbdg-1	X20	X18	X8
Br0942_aigbadli-1	X3	X4	X3
Br0942_aigblabp-1	X5	X5	X4
Br0942_aigcbinp-1	X12	X11	X10
Br0942_aigdbfnl-1	X12	X11	X10
Br0942_aigiacmf-1	X10	X18	X8
Br0942_aigkdikj-1	X10	X12	X8
Br0942_aiglmejh-1	X12	X11	X16
Br0942_aigobbed-1	X2	X2	X2
Br0942_aigoompc-1	X1	X1	X1
Br0942_aigpgbcl-1	X8	X7	X7
Br0942_aigpjiec-1	X9	X9	X14
Br0942_aihaonmj-1	X6	X6	X5
Br0942_aihcjkjo-1	X18	X17	X6
Br0942_aihfoaci-1	X17	X11	X10
Br0942_aihmnkhb-1	X1	X1	X1
Br0942_aihnhmmd-1	X9	X9	X14
Br0942_aiicjjcb-1	X17	X11	X10
Br0942_aiikafoh-1	X17	X11	X10
Br0942_aiikdghj-1	X9	X9	X14
Br0942_aijclebf-1	X17	X11	X10
Br0942_aijhbied-1	X17	X19	X16
Br0942_aijpdgek-1	X12	X11	X10
Br0942_aijpmgfd-1	X10	X12	X8
Br0942_aikfcfgh-1	X1	X1	X1
Br0942_aikgflld-1	X14	X4	X3
Br0942_aikkfamg-1	X5	X5	X4
Br0942_ailfhace-1	X10	X12	X8
Br0942_ailmhoha-1	X9	X9	X14
Br0942_ailpimnl-1	X1	X1	X1
Br0942_aimbilce-1	X1	X1	X1
Br0942_aimegfoe-1	X9	X9	X14
Br0942_aimibeia-1	X16	X12	X8
Br0942_aimknibc-1	X18	X12	X8
Br0942_aimnmmkd-1	X1	X1	X1
Br0942_aimpecfk-1	X1	X1	X1
Br0942_aindejkc-1	X17	X11	X10
Br0942_aindjcaj-1	X1	X1	X1
Br0942_aindklkd-1	X17	X11	X10
Br0942_ainhnghk-1	X8	X7	X7
Br0942_ainkbhnj-1	X9	X9	X6
Br0942_ainokfen-1	X9	X17	X6
Br0942_aiobpiko-1	X18	X12	X8
Br0942_aioengae-1	X18	X17	X6
Br0942_aioepdol-1	X16	X12	X8
Br0942_aioggpeg-1	X8	X7	X7
Br0942_aiogmadm-1	X10	X18	X15
Br0942_aiohcjom-1	X3	X18	X15
Br0942_aioiekmk-1	X1	X1	X1
Br0942_aiojkkpi-1	X19	X6	X13
Br0942_aiokgalh-1	X6	X6	X5
Br0942_aiomdnfg-1	X2	X2	X2
Br0942_aionfjmf-1	X10	X12	X8
Br0942_aiookaib-1	X10	X12	X8
Br0942_aiookekc-1	X2	X2	X2
Br0942_aipdaaeo-1	X9	X9	X6
Br0942_ajaohaag-1	X17	X11	X10
Br0942_ajbdbahk-1	X12	X11	X10
Br0942_ajbffcpc-1	X5	X5	X4
Br0942_ajbglkbb-1	X2	X2	X2
Br0942_ajbhkkei-1	X19	X6	X2
Br0942_ajbjkfna-1	X2	X2	X1
Br0942_ajbkaldd-1	X19	X6	X5
Br0942_ajbkconf-1	X3	X3	X3
Br0942_ajbnehoj-1	X18	X17	X6
Br0942_ajbnijpj-1	X3	X4	X3
Br0942_ajbopgag-1	X1	X1	X1
Br0942_ajcabncg-1	X8	X7	X7
Br0942_ajcaigap-1	X9	X9	X14
Br0942_ajcaijnj-1	X2	X2	X2
Br0942_ajcameih-1	X1	X1	X1
Br0942_ajcdjjko-1	X5	X5	X4
Br0942_ajcdlfhb-1	X1	X1	X1
Br0942_ajcdmpin-1	X12	X11	X10
Br0942_ajcgdadh-1	X5	X5	X4
Br0942_ajcjegei-1	X5	X5	X4
Br0942_ajcjjmnn-1	X2	X2	X2
Br0942_ajclbgcn-1	X9	X3	X3
Br0942_ajdfakfj-1	X12	X11	X10
Br0942_ajefeppk-1	X2	X2	X2
Br0942_ajegpnik-1	X10	X12	X8
Br0942_ajeldddn-1	X8	X7	X7
Br0942_ajepcnji-1	X10	X12	X8
Br0942_ajffgpod-1	X12	X11	X10
Br0942_ajfkliog-1	X18	X17	X6
Br0942_ajfkohmk-1	X12	X11	X10
Br0942_ajfolmha-1	X5	X5	X4
Br0942_ajgdoldg-1	X12	X11	X16
Br0942_ajgejdge-1	X10	X12	X8
Br0942_ajgmaamj-1	X9	X9	X14
Br0942_ajgpkcgh-1	X14	X4	X11
Br0942_ajgpnkcf-1	X9	X9	X6
Br0942_ajhakkfc-1	X14	X4	X11
Br0942_ajhiipjd-1	X18	X17	X6
Br0942_ajiakbaj-1	X14	X4	X11
Br0942_ajidnedh-1	X10	X12	X8
Br0942_ajihfbck-1	X19	X6	X5
Br0942_ajimbicc-1	X19	X6	X5
Br0942_ajindbpg-1	X19	X6	X5
Br0942_ajjaohkj-1	X19	X6	X5
Br0942_ajjbkngn-1	X9	X9	X14
Br0942_ajjdkfkc-1	X19	X6	X5
Br0942_ajjepamb-1	X4	X6	X5
Br0942_ajjgmdbp-1	X9	X9	X6
Br0942_ajjgocna-1	X9	X9	X6
Br0942_ajjhocpp-1	X9	X9	X14
Br0942_ajjmbbfj-1	X18	X17	X6
Br0942_ajjmihii-1	X12	X11	X10
Br0942_ajjndjfd-1	X1	X1	X1
Br0942_ajjonmfm-1	X10	X12	X8
Br0942_ajjpdcpi-1	X12	X11	X10
Br0942_ajkcfeig-1	X10	X12	X8
Br0942_ajkdobhg-1	X10	X12	X8
Br0942_ajkhcnng-1	X2	X2	X2
Br0942_ajkjdkbj-1	X10	X12	X8
Br0942_ajkngfle-1	X10	X12	X8
Br0942_ajlgcgpm-1	X2	X2	X2
Br0942_ajlhmhdd-1	X2	X1	X1
Br0942_ajliageo-1	X6	X6	X5
Br0942_ajlledcm-1	X3	X4	X11
Br0942_ajmfbkll-1	X12	X11	X10
Br0942_ajmfkanc-1	X12	X11	X10
Br0942_ajmioigm-1	X1	X1	X1
Br0942_ajmjhffa-1	X10	X12	X8
Br0942_ajnbjjoj-1	X9	X9	X14
Br0942_ajncdfnh-1	X17	X11	X10
Br0942_ajnfmkkd-1	X17	X11	X10
Br0942_ajnkoodf-1	X17	X11	X10
Br0942_ajnmomdh-1	X17	X11	X10
Br0942_ajoamjmh-1	X17	X11	X10
Br0942_ajojnfhe-1	X1	X4	X6
Br0942_ajonldkd-1	X5	X5	X4
Br0942_ajopcnci-1	X5	X5	X4
Br0942_ajpdbnab-1	X22	X12	X15
Br0942_ajpkbeic-1	X9	X4	X6
Br0942_ajpllfmf-1	X16	X12	X8
Br0942_akabcnde-1	X20	X18	X15
Br0942_akagccfh-1	X23	X16	X18
Br0942_akahkapj-1	X17	X11	X10
Br0942_akailhbg-1	X10	X12	X8
Br0942_akamkcmf-1	X9	X9	X18
Br0942_akaopngm-1	X23	X16	X18
Br0942_akbagfaa-1	X10	X12	X8
Br0942_akbemaln-1	X1	X1	X1
Br0942_akbjiond-1	X11	X11	X9
Br0942_akbobdie-1	X23	X16	X18
Br0942_akcbphkk-1	X6	X6	X5
Br0942_akcdendb-1	X1	X1	X1
Br0942_akcelehd-1	X17	X11	X10
Br0942_akcghgaj-1	X1	X1	X1
Br0942_akcheekb-1	X10	X12	X8
Br0942_akcpmdjg-1	X9	X9	X6
Br0942_akdegmlf-1	X1	X1	X1
Br0942_akdepldl-1	X18	X12	X8
Br0942_akdjjmgc-1	X10	X12	X8
Br0942_akdkkofk-1	X1	X1	X1
Br0942_akdmchgb-1	X17	X11	X10
Br0942_akdnjdgd-1	X8	X7	X7
Br0942_akdobjko-1	X8	X7	X7
Br0942_akebjfji-1	X17	X11	X10
Br0942_akebjllg-1	X10	X12	X8
Br0942_akebjogb-1	X1	X1	X1
Br0942_akefpimi-1	X23	X16	X18
Br0942_akeghlhf-1	X19	X6	X5
Br0942_akehcgif-1	X19	X6	X13
Br0942_akejafgb-1	X19	X6	X5
Br0942_akejboip-1	X19	X6	X5
Br0942_akekjjla-1	X19	X6	X13
Br0942_akeklkho-1	X19	X6	X5
Br0942_akepodie-1	X19	X6	X5
Br0942_akfdlhae-1	X19	X6	X5
Br0942_akfecfmp-1	X19	X6	X5
Br0942_akffgpco-1	X19	X6	X5
Br0942_akflegni-1	X19	X6	X5
Br0942_akfpckmb-1	X10	X18	X15
Br0942_akgahlgn-1	X1	X1	X1
Br0942_akgbiimh-1	X13	X13	X9
Br0942_akgcnfbg-1	X1	X1	X1
Br0942_akgfjgko-1	X10	X10	X8
Br0942_akgmpmfg-1	X1	X1	X1
Br0942_akgnedla-1	X14	X1	X1
Br0942_akgombdo-1	X9	X9	X14
Br0942_akgpdnkh-1	X9	X9	X14
Br0942_akhakjam-1	X18	X17	X6
Br0942_akhandlc-1	X1	X1	X1
Br0942_akhfhojl-1	X23	X16	X18
Br0942_akhkacfb-1	X2	X2	X2
Br0942_akifodmb-1	X10	X10	X8
Br0942_akiifffb-1	X1	X1	X1
Br0942_akijapgo-1	X1	X1	X1
Br0942_akipfajb-1	X1	X1	X1
Br0942_akjaiogl-1	X23	X16	X18
Br0942_akjcdcng-1	X10	X12	X8
Br0942_akjcnfnh-1	X1	X1	X1
Br0942_akjilhoc-1	X3	X4	X15
Br0942_akjldipm-1	X23	X16	X18
Br0942_akjnmabb-1	X10	X12	X8
Br0942_akkfaohe-1	X20	X4	X11
Br0942_akkflgoa-1	X10	X12	X8
Br0942_akkmcoha-1	X8	X7	X7
Br0942_aklbpcmo-1	X1	X1	X1
Br0942_aklfdblj-1	X15	X14	X12
Br0942_aklhaipm-1	X10	X12	X8
Br0942_aklhngnb-1	X12	X19	X16
Br0942_akljhhbn-1	X12	X19	X16
Br0942_aklofmdl-1	X9	X9	X14
Br0942_akmfbcpn-1	X2	X2	X2
Br0942_akmjnbij-1	X20	X18	X15
Br0942_akmokhgn-1	X18	X17	X6
Br0942_aknehinl-1	X2	X2	X2
Br0942_aknepmah-1	X10	X12	X8
Br0942_aknipapk-1	X1	X1	X1
Br0942_aknjhdlk-1	X17	X11	X10
Br0942_aknjpmdc-1	X17	X11	X10
Br0942_akoajjga-1	X10	X12	X8
Br0942_akoenadk-1	X2	X2	X2
Br0942_akogdmlb-1	X14	X4	X6
Br0942_akohpcek-1	X14	X4	X10
Br0942_akomgpoe-1	X14	X4	X15
Br0942_akomppba-1	X14	X11	X10
Br0942_akopaoca-1	X16	X12	X8
Br0942_akopjofp-1	X9	X9	X14
Br0942_akpbmaae-1	X17	X11	X10
Br0942_akpffekg-1	X2	X2	X2
Br0942_akphngie-1	X10	X10	X8
Br0942_akpkjlpa-1	X6	X6	X5
Br0942_akpllang-1	X2	X2	X2
Br0942_akppkepd-1	X9	X9	X14
Br0942_alabmmja-1	X6	X6	X5
Br0942_alaehnkj-1	X14	X4	X11
Br0942_alaobndk-1	X9	X9	X14
Br0942_albajknl-1	X8	X7	X7
Br0942_albgidmk-1	X6	X6	X5
Br0942_albgppmb-1	X19	X6	X13
Br0942_albjipmo-1	X19	X6	X13
Br0942_albjkgep-1	X19	X2	X2
Br0942_albmfgip-1	X3	X10	X3
Br0942_alboafko-1	X2	X2	X2
Br0942_alccledg-1	X10	X10	X8
Br0942_alcclpaj-1	X18	X17	X6
Br0942_alcdabfk-1	X10	X10	X8
Br0942_alciacaf-1	X2	X2	X2
Br0942_alckleah-1	X1	X1	X1
Br0942_alcmhlpa-1	X13	X19	X9
Br0942_alcnbdle-1	X10	X10	X8
Br0942_aldinbbj-1	X10	X10	X19
Br0942_aldoiocj-1	X10	X10	X8
Br0942_aldomnig-1	X2	X2	X2
Br0942_aleefbjd-1	X1	X1	X1
Br0942_alekefki-1	X1	X1	X1
Br0942_alfaadmi-1	X15	X14	X12
Br0942_alfdeeic-1	X10	X10	X8
Br0942_alfmepac-1	X1	X1	X1
Br0942_alfmhbjm-1	X2	X2	X2
Br0942_alfngdae-1	X1	X1	X1
Br0942_algcajfd-1	X10	X12	X8
Br0942_algcfmhe-1	X6	X6	X5
Br0942_algelklo-1	X20	X18	X15
Br0942_algiholc-1	X20	X18	X15
Br0942_alglgell-1	X10	X12	X8
Br0942_algomgpi-1	X10	X12	X8
Br0942_alhgcjbg-1	X10	X12	X8
Br0942_alhimbll-1	X6	X6	X5
Br0942_alhmakmp-1	X10	X18	X15
Br0942_alhmbojg-1	X1	X1	X1
Br0942_alhnonja-1	X3	X3	X3
Br0942_aliakhef-1	X8	X7	X7
Br0942_alidfbna-1	X22	X1	X1
Br0942_aliepbfn-1	X6	X6	X5
Br0942_aliepcfl-1	X4	X15	X13
Br0942_alijaini-1	X6	X6	X2
Br0942_alimgdka-1	X2	X2	X2
Br0942_alimolgc-1	X11	X11	X10
Br0942_alipgneh-1	X11	X11	X10
Br0942_aljalnoj-1	X1	X1	X1
Br0942_aljbdpoa-1	X12	X11	X10
Br0942_aljfdgah-1	X20	X18	X15
Br0942_aljknpkj-1	X17	X11	X10
Br0942_aljlipek-1	X20	X4	X3
Br0942_aljlplll-1	X9	X9	X14
Br0942_alklelam-1	X9	X9	X14
Br0942_alklnfpd-1	X1	X1	X1
Br0942_alknfkkl-1	X9	X9	X14
Br0942_alknijbg-1	X5	X5	X4
Br0942_allabfjp-1	X9	X9	X14
Br0942_allbcief-1	X8	X7	X7
Br0942_allhimlc-1	X9	X9	X6
Br0942_allkncgn-1	X5	X5	X4
Br0942_almahpob-1	X16	X12	X8
Br0942_almcjklj-1	X17	X11	X10
Br0942_almdfhci-1	X19	X2	X2
Br0942_almfljhd-1	X17	X11	X10
Br0942_almjpnmp-1	X8	X7	X6
Br0942_almpgaoe-1	X17	X11	X10
Br0942_alnadgmd-1	X14	X4	X3
Br0942_alnfcigp-1	X8	X7	X7
Br0942_alnmmodd-1	X5	X5	X4
Br0942_alochhed-1	X1	X1	X1
Br0942_alocmegb-1	X9	X9	X14
Br0942_alofaaoh-1	X9	X4	X6
Br0942_alogclpc-1	X17	X11	X10
Br0942_alojaoan-1	X17	X11	X10
Br0942_alopmcol-1	X9	X4	X3
Br0942_alpfffeb-1	X9	X9	X14
Br0942_alpgknin-1	X17	X11	X10
Br0942_alphhnib-1	X17	X11	X10
Br0942_alpmjchp-1	X17	X11	X10
Br0942_alpndobg-1	X3	X4	X3
Br0942_amacbmci-1	X8	X7	X7
Br0942_amackjko-1	X9	X9	X14
Br0942_amaehjmj-1	X17	X11	X10
Br0942_amafhdeh-1	X1	X1	X1
Br0942_amagcdgg-1	X13	X11	X9
Br0942_amalgdop-1	X12	X11	X10
Br0942_amaoedne-1	X16	X12	X8
Br0942_amaofpbf-1	X17	X11	X10
Br0942_amapjeol-1	X9	X9	X14
Br0942_ambbbjke-1	X18	X9	X6
Br0942_ambdkhck-1	X4	X15	X13
Br0942_ambgefep-1	X1	X1	X1
Br0942_ambhnada-1	X6	X6	X5
Br0942_ambiegdl-1	X12	X11	X10
Br0942_ambjflij-1	X1	X1	X1
Br0942_ambjjejn-1	X2	X2	X2
Br0942_ambkmclm-1	X18	X17	X6
Br0942_amblkgmh-1	X8	X7	X7
Br0942_ambopofo-1	X14	X4	X16
Br0942_amcadcmn-1	X22	X1	X1
Br0942_amcajkdo-1	X10	X12	X8
Br0942_amcddkfg-1	X3	X18	X15
Br0942_amcdnbbi-1	X2	X2	X2
Br0942_amciboeg-1	X21	X19	X16
Br0942_amcieaja-1	X17	X11	X10
Br0942_amcldfko-1	X14	X4	X11
Br0942_amcoajfp-1	X12	X11	X10
Br0942_amcpjahm-1	X8	X7	X7
Br0942_amdaggip-1	X12	X11	X10
Br0942_amdcihkg-1	X12	X11	X10
Br0942_amdflhem-1	X10	X12	X8
Br0942_amdhfhjd-1	X10	X12	X8
Br0942_amdlhbcd-1	X19	X6	X5
Br0942_ameclgpc-1	X14	X4	X16
Br0942_amednjjl-1	X20	X17	X15
Br0942_amemgnaj-1	X10	X12	X8
Br0942_amemhlpm-1	X18	X17	X6
Br0942_amemnjpf-1	X9	X9	X6
Br0942_amenedmh-1	X9	X9	X14
Br0942_amepihmg-1	X19	X2	X2
Br0942_amfaggnl-1	X19	X2	X2
Br0942_amfaghbf-1	X4	X6	X13
Br0942_amfcccoo-1	X19	X6	X5
Br0942_amfeaila-1	X3	X4	X11
Br0942_amfeobha-1	X19	X6	X5
Br0942_amffmlni-1	X5	X5	X4
Br0942_amffmnkk-1	X9	X4	X11
Br0942_amfhioko-1	X10	X18	X15
Br0942_amfibjkh-1	X12	X11	X10
Br0942_amfilhmc-1	X12	X11	X10
Br0942_amflncec-1	X10	X12	X8
Br0942_amgdhcpb-1	X12	X11	X10
Br0942_amgfpccn-1	X10	X18	X15
Br0942_amgiedkm-1	X1	X1	X1
Br0942_amgihodm-1	X6	X6	X5
Br0942_amgkejan-1	X10	X12	X8
Br0942_amgkikli-1	X10	X12	X8
Br0942_amgnlbjl-1	X2	X2	X2
Br0942_amhekdgn-1	X19	X6	X5
Br0942_amhlhdli-1	X12	X11	X10
Br0942_amhnphoc-1	X15	X14	X12
Br0942_amhpijpf-1	X20	X18	X8
Br0942_amibblpj-1	X10	X12	X8
Br0942_amibecel-1	X1	X1	X1
Br0942_amibknei-1	X21	X19	X16
Br0942_amibpngj-1	X1	X1	X1
Br0942_amidfdin-1	X10	X10	X8
Br0942_amidkocm-1	X10	X10	X8
Br0942_amidnheo-1	X1	X1	X1
Br0942_amieiipp-1	X13	X4	X11
Br0942_amikmigp-1	X10	X12	X8
Br0942_amimehdi-1	X10	X12	X8
Br0942_amiogpll-1	X12	X11	X9
Br0942_amipcebg-1	X12	X11	X9
Br0942_amipgbjo-1	X12	X11	X9
Br0942_amjheoeg-1	X1	X1	X1
Br0942_amjkooem-1	X10	X12	X8
Br0942_amjnlbjd-1	X12	X11	X16
Br0942_amkdnkfd-1	X14	X4	X3
Br0942_amkgdbcf-1	X21	X11	X16
Br0942_amkgejlp-1	X22	X1	X15
Br0942_amkhfngi-1	X21	X19	X16
Br0942_amkihifg-1	X10	X12	X8
Br0942_amkkbabg-1	X10	X12	X8
Br0942_amknmbpd-1	X10	X12	X8
Br0942_amkpjfii-1	X1	X1	X1
Br0942_amkpmhco-1	X1	X1	X1
Br0942_amlahmgp-1	X9	X9	X14
Br0942_amlakahn-1	X10	X12	X8
Br0942_amlcchnp-1	X10	X10	X8
Br0942_amleipli-1	X4	X15	X13
Br0942_amlhfkjp-1	X10	X12	X8
Br0942_amlkjpnn-1	X9	X4	X11
Br0942_amlnfdne-1	X10	X12	X8
Br0942_ammgjaek-1	X1	X1	X1
Br0942_ammheoad-1	X12	X11	X10
Br0942_ammiobgb-1	X23	X16	X18
Br0942_amnbjmib-1	X12	X11	X10
Br0942_amnbnnpn-1	X3	X4	X3
Br0942_amnbpgkp-1	X1	X1	X1
Br0942_amnmocpb-1	X5	X5	X4
Br0942_amnnmkkf-1	X1	X1	X1
Br0942_amnpdjgm-1	X10	X12	X8
Br0942_amofkped-1	X18	X17	X6
Br0942_amohgjoa-1	X19	X6	X5
Br0942_amolmdcj-1	X19	X6	X5
Br0942_amomgpfe-1	X19	X6	X5
Br0942_amomkgdk-1	X12	X11	X16
Br0942_amommgfb-1	X12	X11	X16
Br0942_amoodadp-1	X12	X11	X10
Br0942_ampfhgin-1	X12	X11	X16
Br0942_ampjbhik-1	X11	X11	X9
Br0942_ampljkhb-1	X10	X18	X15
Br0942_ampmmioj-1	X1	X1	X1
Br0942_ampnhphn-1	X19	X6	X5
Br0942_amppkepd-1	X11	X11	X9
Br0942_amppohli-1	X4	X6	X5
Br0942_anaafnil-1	X9	X9	X14
Br0942_anaddaka-1	X3	X4	X3
Br0942_anadfapp-1	X10	X18	X8
Br0942_anaekhen-1	X12	X11	X10
Br0942_anaffjfh-1	X12	X11	X10
Br0942_anakhpon-1	X12	X11	X10
Br0942_analfmbn-1	X10	X18	X8
Br0942_analnclm-1	X12	X11	X10
Br0942_anandjdi-1	X12	X11	X10
Br0942_anbamjlj-1	X10	X10	X8
Br0942_anbbabnh-1	X10	X10	X8
Br0942_anbdinom-1	X11	X11	X9
Br0942_anbebobe-1	X11	X11	X9
Br0942_anbigjhp-1	X3	X1	X1
Br0942_anbjohjn-1	X11	X11	X9
Br0942_ancancai-1	X5	X5	X4
Br0942_ancbcffc-1	X10	X12	X8
Br0942_ancgbook-1	X19	X6	X5
Br0942_ancgecha-1	X10	X10	X8
Br0942_ancingoh-1	X10	X12	X8
Br0942_anckfneb-1	X3	X3	X15
Br0942_ancmfndo-1	X5	X5	X4
Br0942_ancmkodn-1	X10	X12	X8
Br0942_ancnkelk-1	X1	X1	X1
Br0942_ancpcjpa-1	X12	X11	X10
Br0942_andaoikg-1	X10	X12	X8
Br0942_andbjdif-1	X21	X11	X9
Br0942_andnodna-1	X12	X11	X10
Br0942_aneehhie-1	X5	X5	X15
Br0942_anekghgj-1	X23	X16	X18
Br0942_anelhfjo-1	X8	X7	X7
Br0942_anfcfoco-1	X11	X11	X9
Br0942_anfdhgao-1	X10	X12	X8
Br0942_anfiellh-1	X16	X12	X8
Br0942_anfioacp-1	X12	X11	X16
Br0942_anfjbkbg-1	X2	X2	X3
Br0942_anfnnoge-1	X12	X11	X16
Br0942_anfpgndb-1	X10	X12	X8
Br0942_angcboio-1	X14	X4	X6
Br0942_angdgnad-1	X11	X11	X10
Br0942_angecgem-1	X1	X1	X1
Br0942_angmmade-1	X12	X11	X16
Br0942_anhakahd-1	X11	X11	X9
Br0942_anhcanni-1	X1	X1	X1
Br0942_anhdfcij-1	X3	X3	X3
